"product_code","setid","part_num","numerator_value","numerator_unit","denominator_value","denominator_unit","base_of_strength"
"55154-0671","002aba09-f6af-48e8-9951-949e1033fb09","0","100","mg","","","ALLOPURINOL"
"52544-295","003a2b73-31cf-45b1-b112-51001f0cd17a","0","90","ug","","","LEVONORGESTREL"
"52544-295","003a2b73-31cf-45b1-b112-51001f0cd17a","0","20","ug","","","ETHINYL ESTRADIOL"
"68084-288","001e72ea-2c9e-468c-90cc-6c347234e2a9","0","0.1","mg","","","Fludrocortisone"
"60951-310","00151b40-9e02-11de-b2a5-0002a5d5c51b","0","4.8355","mg","","","OXYCODONE"
"60951-310","00151b40-9e02-11de-b2a5-0002a5d5c51b","0","325","mg","","","ASPIRIN"
"54868-5432","001a1b71-7868-44a2-9e28-6935cb4a9718","0","300","mg","","","CARBAMAZEPINE"
"67046-268","0027b8a3-73bf-4005-a7e3-b035f451a861","0","5","mg","","","HALOPERIDOL"
"51079-128","002e3d65-894e-4778-8945-01e71e29e288","0","800","mg","","","SULFAMETHOXAZOLE"
"51079-128","002e3d65-894e-4778-8945-01e71e29e288","0","160","mg","","","TRIMETHOPRIM"
"50436-3915","003aaa11-15c7-472a-9bcd-ff6d5feb35cf","0","7.5","mg","","","HYDROCODONE"
"50436-3915","003aaa11-15c7-472a-9bcd-ff6d5feb35cf","0","750","mg","","","ACETAMINOPHEN"
"68308-505","0040c308-8be1-4b01-9d63-cefc72ecf76b","0","5","mg","","","Oxycodone"
"54569-5906","00441b0a-66be-4fee-ac3d-9bd40cd36138","0","5","mg","","","ZOLPIDEM"
"54569-5907","00441b0a-66be-4fee-ac3d-9bd40cd36138","0","10","mg","","","ZOLPIDEM"
"68084-326","0003458f-352a-46fa-9d99-230daa76ae29","0","2","mg","","","GLIMEPIRIDE"
"68084-327","0003458f-352a-46fa-9d99-230daa76ae29","0","4","mg","","","GLIMEPIRIDE"
"0591-3354","00295ca8-557f-4253-9624-533c06b28ae1","0","60","mg","","","NATEGLINIDE"
"0591-3355","00295ca8-557f-4253-9624-533c06b28ae1","0","120","mg","","","NATEGLINIDE"
"55154-6660","001714c1-a292-40be-bfbd-0ff67193ace6","0","20","mg","","","citalopram"
"55154-6661","001714c1-a292-40be-bfbd-0ff67193ace6","0","40","mg","","","citalopram"
"10544-533","004ddf52-9e87-44a4-97e2-3c3293f7cf8c","0","150","mg","","","TRAZODONE"
"12634-179","0048d662-23c4-4e28-815e-ce094951da05","0","0.2","mg","","","METHYLERGONOVINE"
"49349-224","004c3d4e-c4d9-4fd0-bbf1-a0d68aa5a046","0","375","mg","","","NAPROXEN"
"52959-838","004b13ef-8ffb-434a-9abd-18085b6a0793","0","250","mg","","","AZITHROMYCIN ANHYDROUS"
"55154-3935","00079918-5b94-4fb4-8572-a7988cbfa356","0","2","mg","","","tolterodine"
"55154-3933","00079918-5b94-4fb4-8572-a7988cbfa356","0","4","mg","","","tolterodine"
"55154-4564","005a1ebe-bccf-47ce-a203-656854c70961","0","50","mg","","","METOPROLOL"
"54868-6141","001447cf-1dad-47bf-be69-f41d581dd21d","0","37.5","mg","","","VENLAFAXINE"
"54868-6139","001447cf-1dad-47bf-be69-f41d581dd21d","0","75","mg","","","VENLAFAXINE"
"54868-6140","001447cf-1dad-47bf-be69-f41d581dd21d","0","150","mg","","","VENLAFAXINE"
"50546-710","00590bb0-edc9-4e4e-96ee-c5f163a8b788","0","75","mg","","","DOXYCYCLINE ANHYDROUS"
"65862-373","00310d40-f3d1-44a4-bc58-1b8f90472420","0","5","mg","","","ESCITALOPRAM"
"65862-374","00310d40-f3d1-44a4-bc58-1b8f90472420","0","10","mg","","","ESCITALOPRAM"
"65862-375","00310d40-f3d1-44a4-bc58-1b8f90472420","0","20","mg","","","ESCITALOPRAM"
"66116-404","0060d1b1-4cfc-4b69-86a8-9bd44a071e94","0","15","mg","","","MELOXICAM"
"16729-029","00206aae-7db1-4ae9-8500-b03fd6788d74","0","125","mg","","","Methyldopa"
"60429-262","006f20d3-e724-4c55-be41-a5b23d6b638d","0","20","mg","","","Hydrocortisone"
"16729-030","00206aae-7db1-4ae9-8500-b03fd6788d74","0","250","mg","","","Methyldopa"
"16729-031","00206aae-7db1-4ae9-8500-b03fd6788d74","0","500","mg","","","Methyldopa"
"49884-303","0054eaea-2145-4ad9-a16a-084841cbc0a9","0","10","mg","","","ZAFIRLUKAST"
"49884-304","0054eaea-2145-4ad9-a16a-084841cbc0a9","0","20","mg","","","ZAFIRLUKAST"
"67405-543","006a3562-84ca-49a7-99fd-3a0b72866238","0","250","mg","","","TERBINAFINE"
"49349-256","00671107-f919-490d-9d2b-a4ff1582c727","0","5","mg","","","LISINOPRIL"
"0078-0458","00557380-0ab6-49a7-8101-0c8ae2a31fec","0","50","mg","","","METOPROLOL"
"0078-0459","00557380-0ab6-49a7-8101-0c8ae2a31fec","0","100","mg","","","METOPROLOL"
"65862-357","0078fb3d-3595-4ae1-a059-1d5e81c879cf","0","75","mg","","","CLOPIDOGREL"
"0781-5620","0013aad0-f2c5-40e8-9f9e-85cb13a97674","0","125","mg","","","PENCICLOVIR"
"0781-5621","0013aad0-f2c5-40e8-9f9e-85cb13a97674","0","250","mg","","","PENCICLOVIR"
"0781-5622","0013aad0-f2c5-40e8-9f9e-85cb13a97674","0","500","mg","","","PENCICLOVIR"
"42546-517","00736fdd-192f-4ef9-9abe-c5c0d2f8cef2","1","3000","[iU]","","","BETA CAROTENE"
"42546-517","00736fdd-192f-4ef9-9abe-c5c0d2f8cef2","1","120","mg","","","ASCORBIC ACID"
"42546-517","00736fdd-192f-4ef9-9abe-c5c0d2f8cef2","1","400","[iU]","","","CHOLECALCIFEROL"
"42546-517","00736fdd-192f-4ef9-9abe-c5c0d2f8cef2","1","3","mg","","",".ALPHA.-TOCOPHEROL, DL-"
"42546-517","00736fdd-192f-4ef9-9abe-c5c0d2f8cef2","1","1.8","mg","","","THIAMINE ION"
"42546-517","00736fdd-192f-4ef9-9abe-c5c0d2f8cef2","1","4","mg","","","RIBOFLAVIN"
"42546-517","00736fdd-192f-4ef9-9abe-c5c0d2f8cef2","1","20","mg","","","NIACINAMIDE"
"42546-517","00736fdd-192f-4ef9-9abe-c5c0d2f8cef2","1","25","mg","","","PYRIDOXINE"
"42546-517","00736fdd-192f-4ef9-9abe-c5c0d2f8cef2","1","1","mg","","","FOLIC ACID"
"42546-517","00736fdd-192f-4ef9-9abe-c5c0d2f8cef2","1",".012","mg","","","CYANOCOBALAMIN"
"42546-517","00736fdd-192f-4ef9-9abe-c5c0d2f8cef2","1","200","mg","","","CALCIUM CATION"
"42546-517","00736fdd-192f-4ef9-9abe-c5c0d2f8cef2","1","7.25","mg","","","IRON PROTEIN SUCCINYLATE"
"42546-517","00736fdd-192f-4ef9-9abe-c5c0d2f8cef2","1","21.75","mg","","","IRON"
"42546-517","00736fdd-192f-4ef9-9abe-c5c0d2f8cef2","1","25","mg","","","MAGNESIUM CATION"
"42546-517","00736fdd-192f-4ef9-9abe-c5c0d2f8cef2","1","25","mg","","","ZINC OXIDE"
"42546-517","00736fdd-192f-4ef9-9abe-c5c0d2f8cef2","1","2","mg","","","CUPRIC OXIDE"
"42546-517","00736fdd-192f-4ef9-9abe-c5c0d2f8cef2","2","400","mg","","","OMEGA-3 FATTY ACIDS"
"23155-115","0044b39c-8711-47fa-be90-972813139924","0","2.5","mg","","","GLIPIZIDE"
"23155-115","0044b39c-8711-47fa-be90-972813139924","0","250","mg","","","METFORMIN"
"23155-116","0044b39c-8711-47fa-be90-972813139924","0","2.5","mg","","","GLIPIZIDE"
"23155-116","0044b39c-8711-47fa-be90-972813139924","0","500","mg","","","METFORMIN"
"23155-117","0044b39c-8711-47fa-be90-972813139924","0","5","mg","","","GLIPIZIDE"
"23155-117","0044b39c-8711-47fa-be90-972813139924","0","500","mg","","","METFORMIN"
"0555-0954","0055375f-cbe2-4a04-b088-523e00fddd57","0","5","mg","","","DEXTROAMPHETAMINE"
"0555-0955","0055375f-cbe2-4a04-b088-523e00fddd57","0","10","mg","","","DEXTROAMPHETAMINE"
"23359-100","00a6e59a-4714-46ab-8119-12db89deff27","0","106","mg","","","Iron"
"23359-100","00a6e59a-4714-46ab-8119-12db89deff27","0","200","mg","","","Sodium Cation"
"23359-100","00a6e59a-4714-46ab-8119-12db89deff27","0","10","mg","","","Thiamine"
