"product_code","setid","part_num","numerator_value","numerator_unit","denominator_value","denominator_unit","base_of_strength"
"75854-309","cf10de09-6ed5-4a66-84fa-2da4f668bbe6","0","85","mg","","","ASCORBIC ACID"
"75854-309","cf10de09-6ed5-4a66-84fa-2da4f668bbe6","0","1000","[iU]","","","CHOLECALCIFEROL"
"75854-309","cf10de09-6ed5-4a66-84fa-2da4f668bbe6","0","10","[iU]","","",".ALPHA.-TOCOPHEROL, DL-"
"75854-309","cf10de09-6ed5-4a66-84fa-2da4f668bbe6","0","1","mg","","","FOLIC ACID"
"75854-309","cf10de09-6ed5-4a66-84fa-2da4f668bbe6","0","25","mg","","","PYRIDOXINE"
"75854-309","cf10de09-6ed5-4a66-84fa-2da4f668bbe6","0","12","ug","","","CYANOCOBALAMIN"
"75854-309","cf10de09-6ed5-4a66-84fa-2da4f668bbe6","0","500","ug","","","BIOTIN"
"75854-309","cf10de09-6ed5-4a66-84fa-2da4f668bbe6","0","155","mg","","","CALCIUM CATION"
"75854-309","cf10de09-6ed5-4a66-84fa-2da4f668bbe6","0","28","mg","","","FERROUS CATION"
"75854-309","cf10de09-6ed5-4a66-84fa-2da4f668bbe6","0","150","mg","","","IODIDE ION"
"75854-309","cf10de09-6ed5-4a66-84fa-2da4f668bbe6","0","50","mg","","","MAGNESIUM CATION"
"75854-309","cf10de09-6ed5-4a66-84fa-2da4f668bbe6","0","400","mg","","","DOCONEXENT"
"42254-124","18f7b809-b270-4d44-8065-685bac30efc0","0","40","mg","","","PANTOPRAZOLE"
"59088-104","c868e459-33b6-47e9-af4d-3d421d91772d","0","0.25","mg","","","FLUORIDE ION"
"63629-3640","49f500af-0ee8-4384-91d9-8822cffac976","0","5","mg","","","CYCLOBENZAPRINE"
"68788-0763","878f5bb7-1fda-4ac9-8190-c7e5571993e2","0","875","mg","","","AMOXICILLIN ANHYDROUS"
"55154-2064","19a60d50-7319-44d9-9ade-72922cfcb39d","0","1","mg","","","FOLIC ACID"
"67046-111","30abc373-2373-449c-9bb1-b22238402357","0","20","mg","","","CITALOPRAM"
"35356-710","0b9894ea-6e23-413c-a4ff-c7f7f7dc994d","0","100","mg","","","FLURBIPROFEN"
"49349-675","2cebc0e3-9b0d-497f-8976-6d853aa75539","0","500","mg","","","METFORMIN"
"63629-3279","0fcdbdb5-4b27-4ef8-aa1c-b72d355def41","0","10","mg","","","METHYLPHENIDATE"
"68084-380","7ae8ca71-6b24-4cf0-aa66-33d92ae9899b","0","350","mg","","","CARISOPRODOL"
"30698-449","2abb091b-a53e-46b0-9b84-e5ee8f2bdd8e","0","20","mg","","","BENAZEPRILAT"
"30698-450","2abb091b-a53e-46b0-9b84-e5ee8f2bdd8e","0","40","mg","","","BENAZEPRILAT"
"55154-4617","1e3c74c9-0017-4d7a-a716-2b5366286a67","0","5","mg","","","Memantine"
"55154-4618","1e3c74c9-0017-4d7a-a716-2b5366286a67","0","10","mg","","","Memantine"
"13107-014","677f8495-a870-45b6-bb65-75b449f040ce","0","1","mg","","","GLYCOPYRRONIUM"
"68012-490","35e89d4e-45cf-4374-bf93-fca8d40d783b","0","40","mg","","","fenofibrate"
"68012-495","35e89d4e-45cf-4374-bf93-fca8d40d783b","0","120","mg","","","fenofibrate"
"0093-4232","04236576-01c4-43a6-ac8a-60e23b5dc692","0","0.5","mg","","","BUMETANIDE"
"0093-4233","04236576-01c4-43a6-ac8a-60e23b5dc692","0","1","mg","","","BUMETANIDE"
"0093-4234","04236576-01c4-43a6-ac8a-60e23b5dc692","0","2","mg","","","BUMETANIDE"
"60429-106","1a8003d3-b990-4462-a787-ab93ca72f7b7","0","0.4","mg","","","TAMSULOSIN"
"62584-738","34999e26-9891-40c5-9aad-b483633b5d56","0","5","mg","","","HYDROCODONE"
"62584-738","34999e26-9891-40c5-9aad-b483633b5d56","0","500","mg","","","ACETAMINOPHEN"
"54868-5364","6ce1d9b9-3a71-4c10-9c09-6259088baafb","0","2.5","mg","","","GLIPIZIDE"
"54868-5210","6ce1d9b9-3a71-4c10-9c09-6259088baafb","0","5","mg","","","GLIPIZIDE"
"54868-4988","6ce1d9b9-3a71-4c10-9c09-6259088baafb","0","10","mg","","","GLIPIZIDE"
"0054-0210","700abc58-9362-4ef5-9d7a-dd3c4d364d0a","0","5","mg","","","PROTRIPTYLINE"
"0054-0211","700abc58-9362-4ef5-9d7a-dd3c4d364d0a","0","10","mg","","","PROTRIPTYLINE"
"60429-382","cfeb2b37-c295-46d0-be1e-68334c0a7f90","0","100","mg","","","GABAPENTIN"
"60429-383","cfeb2b37-c295-46d0-be1e-68334c0a7f90","0","300","mg","","","GABAPENTIN"
"60429-384","cfeb2b37-c295-46d0-be1e-68334c0a7f90","0","400","mg","","","GABAPENTIN"
"21695-538","256bfee6-3e21-4fdb-a1d0-0ef417b8be86","0","25","mg","","","HYDROCHLOROTHIAZIDE"
"21695-539","256bfee6-3e21-4fdb-a1d0-0ef417b8be86","0","50","mg","","","HYDROCHLOROTHIAZIDE"
"50682-507","2ada2b3c-afcf-44bd-b0b8-bd4a1bc5673a","0","500","mg","","","SALSALATE"
"50682-508","2ada2b3c-afcf-44bd-b0b8-bd4a1bc5673a","0","750","mg","","","SALSALATE"
"55648-965","6a0a2d15-e67c-41d9-85fd-bafe9b3fb7e2","0","5","mg","","","BETHANECHOL"
"55648-966","6a0a2d15-e67c-41d9-85fd-bafe9b3fb7e2","0","10","mg","","","BETHANECHOL"
